Date,Open,High,Low,Close,Adj Close,Volume
2001-03-01,124.050003,124.599998,121.750000,124.599998,81.025124,14672000
2001-03-02,122.500000,125.650002,122.300003,123.610001,80.381371,12564300
2001-03-05,124.150002,124.779999,123.809998,124.739998,81.116150,5293200
2001-03-06,126.349998,127.750000,125.489998,126.080002,81.987587,6917000
2001-03-07,126.900002,127.040001,125.760002,126.980003,82.572815,6371700
2001-03-08,126.599998,127.239998,126.139999,127.120003,82.663864,6055000
2001-03-09,126.099998,126.099998,123.110001,123.360001,80.218796,10020300
2001-03-12,122.339996,122.500000,117.750000,118.080002,76.785332,13972900
2001-03-13,119.400002,120.440002,117.529999,120.019997,78.046867,12888000
2001-03-14,117.050003,119.290001,115.750000,117.650002,76.505692,19883400
2001-03-15,118.449997,118.860001,117.360001,117.680000,76.525169,10370300
2001-03-16,117.129997,117.400002,114.809998,115.010002,74.990295,58514600
2001-03-19,115.760002,117.690002,114.820000,117.349998,76.516045,10067800
2001-03-20,117.900002,118.459999,114.110001,114.199997,74.462166,15083900
2001-03-21,114.180000,115.260002,111.900002,112.260002,73.197205,19004600
2001-03-22,112.019997,112.599998,108.040001,111.120003,72.453918,28624800
2001-03-23,113.250000,114.660004,111.500000,114.480003,74.644722,12861700
2001-03-26,115.699997,116.269997,114.769997,115.940002,75.596733,9943800
2001-03-27,115.620003,118.650002,115.279999,118.309998,77.142021,12880700
2001-03-28,116.900002,116.949997,114.900002,115.040001,75.009865,10953300
2001-03-29,114.699997,116.500000,112.139999,115.480003,75.296768,12060300
2001-03-30,115.550003,116.690002,114.500000,116.690002,76.085709,9183600
2001-04-02,116.300003,117.379997,113.800003,114.199997,74.462166,10561000
2001-04-03,113.980003,114.150002,110.059998,110.389999,71.977936,12836000
2001-04-04,110.570000,112.099998,109.300003,110.849998,72.277847,14884300
2001-04-05,113.300003,115.489998,112.500000,115.050003,75.016426,21522800
2001-04-06,113.989998,114.400002,112.059998,113.300003,73.875328,14937800
2001-04-09,114.000000,114.989998,112.779999,114.559998,74.696907,9034300
2001-04-10,115.449997,117.750000,115.169998,116.650002,76.059631,17873600
2001-04-11,118.779999,118.989998,116.139999,116.730003,76.111786,12722300
2001-04-12,116.300003,118.940002,115.959999,118.849998,77.494118,9233200
2001-04-16,118.290001,118.889999,116.910004,117.599998,76.679108,7350000
2001-04-17,117.309998,119.660004,117.019997,119.260002,77.761467,10924700
2001-04-18,121.059998,126.000000,120.690002,124.000000,80.852097,32481600
2001-04-19,124.250000,125.839996,123.580002,125.650002,81.927925,13809900
2001-04-20,124.900002,125.400002,123.660004,124.500000,81.178108,7626700
2001-04-23,123.650002,123.889999,121.910004,122.239998,79.704529,8451800
2001-04-24,122.519997,123.650002,121.099998,121.580002,79.274162,10044700
2001-04-25,121.419998,123.669998,120.949997,123.169998,80.310921,8249000
2001-04-26,123.730003,125.220001,123.500000,123.720001,80.669510,10590400
2001-04-27,124.919998,125.839996,124.199997,125.779999,82.012726,7938700
2001-04-30,126.449997,127.269997,124.669998,126.660004,82.586510,10766900
2001-05-01,125.070000,127.150002,124.599998,127.050003,82.840775,10578000
2001-05-02,127.410004,127.690002,126.000000,126.820000,82.690834,9572900
2001-05-03,126.129997,126.150002,124.220001,125.209999,81.641060,9926200
2001-05-04,123.650002,127.349998,123.440002,127.339996,83.029884,12145300
2001-05-07,126.860001,127.379997,126.230003,126.239998,82.312630,7185200
2001-05-08,126.860001,127.099998,125.559998,126.180000,82.273521,6952600
2001-05-09,125.250000,126.550003,125.059998,125.650002,81.927925,9507400
2001-05-10,127.260002,127.500000,125.769997,126.019997,82.169189,6872400
2001-05-11,126.000000,126.489998,124.400002,125.150002,81.601929,7734400
2001-05-14,124.900002,125.440002,124.459999,125.400002,81.764931,7914000
2001-05-15,125.550003,126.500000,124.849998,125.980003,82.143112,9782200
2001-05-16,124.839996,129.199997,124.620003,128.949997,84.079659,14909000
2001-05-17,129.000000,130.080002,128.559998,129.149994,84.210045,11824600
2001-05-18,129.089996,129.740005,128.100006,129.740005,84.594742,6683100
2001-05-21,129.839996,131.839996,129.149994,131.649994,85.840134,11531500
2001-05-22,131.830002,132.089996,131.070007,131.479996,85.729309,8342700
2001-05-23,131.050003,131.050003,129.250000,129.250000,84.275269,12330800
2001-05-24,129.470001,130.000000,128.550003,129.630005,84.523018,7902800
2001-05-25,129.649994,129.699997,127.900002,128.100006,83.525444,7425000
2001-05-29,128.220001,128.350006,126.900002,127.080002,82.860321,9003900
2001-05-30,126.589996,127.089996,125.000000,125.300003,81.699768,10041800
2001-05-31,125.430000,126.760002,125.260002,125.949997,82.123550,9874200
2001-06-01,126.199997,127.099998,125.120003,126.730003,82.632133,8848300
2001-06-04,126.800003,127.430000,126.080002,127.339996,83.029884,5623500
2001-06-05,127.489998,129.229996,127.269997,128.800003,83.981834,9115400
2001-06-06,128.830002,128.830002,127.360001,127.730003,83.284164,12064900
2001-06-07,127.050003,128.350006,127.000000,128.190002,83.584099,7355300
2001-06-08,127.699997,127.870003,126.139999,127.000000,82.808212,8170600
2001-06-11,126.709999,126.989998,125.410004,126.099998,82.221321,7012200
2001-06-12,124.860001,126.739998,124.040001,125.879997,82.077934,9364400
2001-06-13,126.169998,126.580002,124.650002,124.800003,81.373718,7629400
2001-06-14,124.180000,124.300003,121.750000,122.000000,79.548027,12603000
2001-06-15,120.910004,122.400002,120.400002,121.849998,79.676170,16821100
2001-06-18,121.650002,122.440002,120.910004,121.260002,79.290421,11368300
2001-06-19,122.379997,122.889999,120.889999,121.790001,79.636963,7732300
2001-06-20,121.190002,122.860001,121.099998,122.430000,80.055420,8787200
2001-06-21,122.220001,124.309998,122.150002,123.820000,80.964325,12259100
2001-06-22,123.489998,123.589996,122.160004,122.849998,80.330063,12212000
2001-06-25,123.279999,123.440002,121.500000,121.720001,79.591148,8406800
2001-06-26,120.900002,122.389999,120.570000,121.550003,79.480034,8005800
2001-06-27,121.599998,122.239998,120.910004,121.480003,79.434265,10105100
2001-06-28,122.000000,123.940002,121.930000,122.150002,79.872375,10269300
2001-06-29,122.800003,124.010002,122.260002,122.599998,80.166595,9824200
2001-07-02,122.800003,124.320000,122.620003,124.129997,81.167068,8522200
2001-07-03,123.980003,124.099998,123.050003,124.099998,81.147438,3303100
2001-07-05,123.070000,123.650002,121.660004,121.680000,79.565033,5517900
2001-07-06,121.309998,121.489998,119.050003,119.050003,77.845306,11665900
